,Dealer_ID,Product_ID,Quantity,Consumption,Location,Consumption_Level,Quantity_consumption_ratios
0,0,0,0.2924365374533228,-0.9386261181347887,0,1,7.75
1,0,0,0.6024249073075812,-0.7064903981338014,0,1,7.777777777777778
2,0,0,-1.644990774135792,1.1505953618740965,1,0,0.7058823529411765
3,0,0,0.7574190922347104,0.2220524818701475,1,2,5.6923076923076925
4,0,0,0.09869380629441137,-0.4743546781328142,1,1,5.7
5,0,0,-0.986265488195493,-0.010083238130839736,1,2,2.4166666666666665
6,0,0,-1.2962538580497514,0.45418820187113473,2,2,1.5
7,0,0,-0.017551832400935528,0.686323921872122,2,0,3.6
8,0,0,-0.2500431097916293,-0.4743546781328142,2,1,4.8
9,0,0,-0.8312713032683637,1.614866801876071,2,0,1.736842105263158
10,0,0,0.9511618233936219,-0.24221895813182698,2,2,7.181818181818182
11,0,0,1.0674074620889689,0.45418820187113473,1,2,5.857142857142857
12,0,0,0.25368799122154057,-1.402897558136763,2,1,10.166666666666666
13,0,0,-0.9475169419637106,-1.6350332781377503,1,1,6.0
14,0,0,1.1061560083207511,-0.9386261181347887,0,1,10.375
15,0,0,0.447430722380452,0.9184596418731092,1,0,4.125
16,0,0,0.25368799122154057,-0.4743546781328142,1,1,6.1
17,0,0,0.6799219997711458,1.1505953618740965,1,0,4.235294117647059
18,0,0,-1.4124994967450981,-1.6350332781377503,1,1,3.6
19,0,0,-0.4825343871823231,1.1505953618740965,2,0,2.4705882352941178
20,0,0,0.36993362991688744,0.2220524818701475,0,2,4.923076923076923
21,0,0,-0.986265488195493,-0.010083238130839736,1,2,2.4166666666666665
22,0,0,-0.986265488195493,1.1505953618740965,0,0,1.7058823529411764
23,0,0,1.5323900168703564,-0.010083238130839736,0,2,7.833333333333333
24,0,0,0.447430722380452,-1.1707618381357758,0,1,9.428571428571429
25,0,0,1.2224016470160979,0.686323921872122,1,0,5.733333333333333
26,0,0,1.2224016470160979,-1.6350332781377503,0,1,17.2
27,0,0,-0.3662887484869762,-0.7064903981338014,0,1,5.0
28,0,0,0.5636763610757989,-0.010083238130839736,0,2,5.75
29,0,0,0.7574190922347104,-0.010083238130839736,1,2,6.166666666666667
30,0,0,0.6411734535393635,-0.9386261181347887,1,1,8.875
31,0,0,-1.5674936816722274,-0.7064903981338014,0,1,1.5555555555555556
32,0,0,1.5323900168703564,-1.1707618381357758,2,1,13.428571428571429
33,0,0,-0.4825343871823231,-0.7064903981338014,0,1,4.666666666666667
34,0,0,-1.3350024042815336,-0.24221895813182698,1,2,1.8181818181818181
35,0,0,-0.9475169419637106,-1.6350332781377503,1,1,6.0
36,0,0,-1.0250140344272753,0.9184596418731092,0,0,1.75
37,0,0,1.4161443781750094,1.614866801876071,0,0,4.7894736842105265
38,0,0,-1.141259673122622,-1.402897558136763,0,1,4.166666666666667
39,0,0,1.3773958319432271,0.686323921872122,2,0,6.0
40,0,0,1.6873842017974856,-0.7064903981338014,2,1,10.88888888888889
41,0,0,0.13744235252619366,0.686323921872122,2,0,3.8666666666666667
42,0,0,-0.3275402022551939,-1.1707618381357758,0,1,6.571428571428571
43,0,0,-0.05630037863271783,1.614866801876071,0,0,2.789473684210526
44,0,0,1.5323900168703564,0.2220524818701475,1,2,7.230769230769231
45,0,0,-1.4899965892086628,-0.010083238130839736,1,2,1.3333333333333333
46,0,0,-0.21129456355984702,-1.6350332781377503,1,1,9.8
47,0,0,0.9511618233936219,-0.4743546781328142,2,1,7.9
48,0,0,1.7261327480292679,-1.6350332781377503,0,1,19.8
49,0,0,1.5323900168703564,-0.7064903981338014,0,1,10.444444444444445
50,0,0,1.6098871093339209,-1.402897558136763,0,1,16.0
51,0,0,-1.1025111268908399,-0.4743546781328142,0,1,2.6
52,0,0,-1.3350024042815336,-1.6350332781377503,0,1,4.0
53,0,0,-0.21129456355984702,-0.24221895813182698,0,2,4.454545454545454
54,0,0,0.40868217614866975,-0.4743546781328142,2,1,6.5
55,0,0,-1.4899965892086628,-1.1707618381357758,1,1,2.2857142857142856
56,0,0,1.4161443781750094,0.45418820187113473,0,2,6.5
57,0,0,1.2611501932478804,-0.9386261181347887,0,1,10.875
58,0,0,1.493641470638574,-1.1707618381357758,2,1,13.285714285714286
59,0,0,-0.13379747109628243,-0.010083238130839736,2,2,4.25
60,0,0,-1.2187567655861866,-1.6350332781377503,1,1,4.6
61,0,0,-1.644990774135792,-0.9386261181347887,2,1,1.5
62,0,0,0.02119671383084677,-0.24221895813182698,2,2,5.0
63,0,0,0.09869380629441137,1.3827310818750838,2,0,3.1666666666666665
64,0,0,-0.2500431097916293,0.45418820187113473,1,2,3.4285714285714284
65,0,0,-0.4050372947187585,-1.6350332781377503,2,1,8.8
66,0,0,-0.59878002587767,-0.010083238130839736,2,2,3.25
67,0,0,1.6873842017974856,-1.6350332781377503,0,1,19.6
68,0,0,-1.6837393203675743,-0.24221895813182698,2,2,1.0
69,0,0,0.7574190922347104,-1.1707618381357758,0,1,10.571428571428571
70,0,0,1.4548929244067916,-1.1707618381357758,0,1,13.142857142857142
